Rider_ID,Initial_Location,Dropoff_Location,status,systemjoin,pickup,dropoff
r84,"[17.232841702772987, 8.063517822101126]","[19.6007608359606, 5.212731051248484]",Completed,2.8414935892918014,,
r85,"[17.702781601728738, 11.635739209694602]","[17.620957786762535, 4.773829527307704]",Abandoned,2.8829688292416384,,
r86,"[5.483748117074394, 7.081181683464792]","[1.7869642073400938, 6.302428599168211]",Abandoned,2.9004896424976296,,
r87,"[16.029092561849694, 9.700560633746864]","[16.197970628826372, 5.976658640289541]",Abandoned,2.9251807823881113,,
r88,"[18.13738515501647, 8.350373825213062]","[14.069078363898171, 0.7904502916231326]",Abandoned,2.963783021433371,,
r89,"[14.11438382823334, 19.78536455763088]","[9.881789216274552, 0.6005480055072887]",Abandoned,2.9684969404149477,,
r90,"[8.897537223750023, 19.53784998702015]","[10.495959303965506, 18.517322572072715]",Abandoned,3.007723196652796,,
r91,"[1.2037731878714353, 14.699626171526345]","[18.143393183789748, 3.608255853100335]",Abandoned,3.1783389150480037,,
r92,"[16.912586132661247, 14.458069121353127]","[10.717543159749498, 7.869825242740191]",Completed,3.2094648173112255,,
r93,"[3.325835612632817, 4.743601572273841]","[9.304021316254765, 9.154135538765013]",Abandoned,3.2706504314914504,,
r94,"[1.664679417459738, 19.723408251724802]","[13.043039235592582, 15.531317343488265]",Abandoned,3.2893676655748276,,
r95,"[15.771399386305006, 19.18422850501054]","[11.49125382759799, 9.12899205255753]",Completed,3.3631224891659324,,
r96,"[6.543752423986728, 7.13149496570156]","[2.2947650935983477, 16.1698712708912]",Completed,3.372465992644366,,
r97,"[16.144671789882892, 0.1956532019577728]","[9.302003055959942, 4.264659668997874]",Completed,3.378040479260095,,
r98,"[11.30351519097693, 13.576395317813486]","[17.049480439879623, 2.877396294682122]",Completed,3.382842562093418,,
r99,"[7.798925786167031, 16.81142589515217]","[6.537162684249502, 8.191738925187748]",Completed,3.4494947222767536,,
r100,"[14.363792086804676, 10.04030129527136]","[8.080258726334842, 4.135124945843652]",Abandoned,3.473545672300988,,
r101,"[6.696619462771123, 14.468982454380296]","[3.689766103811387, 2.5840682747622923]",Completed,3.4905366363256967,,
r102,"[6.03263242806332, 1.78788497516567]","[0.07662714846821794, 13.229403945303664]",Abandoned,3.4933070437410696,,
r103,"[7.197953751151931, 8.121416348335451]","[2.0861727218590542, 17.78939029547162]",Abandoned,3.506073682161125,,
r104,"[1.6433160483678355, 7.617078692428548]","[12.469603257867872, 13.343414885254017]",Abandoned,3.5273877161816736,,
r105,"[16.508069975008603, 8.099493031242817]","[3.4307757077735435, 18.754716077986973]",Abandoned,3.530700547040234,,
r106,"[12.405538462374189, 2.2790802536688726]","[15.0654930022319, 12.390943172821894]",Completed,3.5414094513568015,,
r107,"[19.20555683848962, 17.09884296152372]","[18.983289431833292, 14.245848400704592]",Abandoned,3.594832469582799,,
r108,"[12.342261425541743, 17.675373134226426]","[9.202999665203016, 11.762396213820752]",Abandoned,3.6591857750044072,,
r109,"[7.174329360802054, 10.976177484457859]","[9.982060164269162, 15.163644181136844]",Abandoned,3.689198872067023,,
r110,"[8.382489005615522, 2.0140624773210125]","[7.953285055178181, 18.599840406799423]",Abandoned,3.749850551406256,,
r111,"[1.0005354485461515, 4.2714920072770335]","[6.420630683523269, 12.351392519266815]",Abandoned,3.852038057753784,,
r112,"[16.40948098161499, 13.899592777453627]","[15.337487134607082, 13.855189362172041]",Completed,3.8581251703147,,
r113,"[10.603661838865424, 0.7867455900918507]","[9.794614777051702, 13.739007472781516]",Abandoned,3.864345483562202,,
r114,"[3.935489700494861, 10.26666586634817]","[8.744472592196352, 11.293837318952079]",Abandoned,3.9572611358165495,,
r115,"[13.355344233803319, 8.143747511927623]","[18.981840209381456, 2.728028072063431]",Completed,3.964892139852745,,
r116,"[1.9416109922618774, 7.7886596676841835]","[5.362501584652177, 18.841013015121327]",Completed,3.9650652203967343,,
r117,"[8.457217400513175, 16.287309973009975]","[3.075984410935426, 0.9964007035489852]",Abandoned,3.9749133618528885,,
r118,"[14.622056585089592, 11.887035250992145]","[5.542598657651512, 6.021838927589251]",Completed,4.049618895207135,,
r119,"[18.845500479494856, 14.139587844205884]","[17.022911074026755, 17.20790198457463]",Completed,4.052292987753672,,
r120,"[16.688815528090064, 5.806498620351402]","[19.488981982425997, 13.667627234299855]",Abandoned,4.084582823313895,,
r121,"[15.190518432098202, 14.060606473344814]","[18.570564204649923, 15.61710592998744]",Completed,4.171077243420467,,
r122,"[13.924802976430122, 2.7967071915133213]","[4.412228182360705, 11.27182680039355]",Abandoned,4.193726888019634,,
r123,"[6.449643073018885, 5.046810058095643]","[11.428893359047596, 3.022865229722298]",Completed,4.19702457614495,,
r124,"[6.998861641528709, 13.845716182551804]","[13.880651975663227, 9.518782038966178]",Completed,4.340564436670165,,
r125,"[2.0555475695101966, 15.075139427070068]","[19.338580985753705, 17.1829553314094]",Completed,4.466274181818547,,
r126,"[9.480355373382476, 14.972249206615935]","[17.79474353029583, 8.822036432419562]",Completed,4.468559036857808,,
r127,"[16.33120947272272, 11.21174052170041]","[5.9351864654174875, 15.21075607155726]",Completed,4.506742317846487,,
r128,"[11.48018739038693, 11.506199094717077]","[7.101403545150999, 0.0745263803834817]",Completed,4.51953076304593,,
r129,"[19.123242716467907, 8.497079257024748]","[14.399991899805467, 17.236182287655396]",Completed,4.581227003713987,,
r130,"[3.2703080443109345, 17.568539472319653]","[19.636914349424124, 1.8811915632877074]",Abandoned,4.591498717068102,,
r131,"[7.40737504757933, 9.275756780144416]","[5.602659284947748, 5.168738469750549]",Abandoned,4.617339735872442,,
r132,"[4.221428187055654, 4.850233330590614]","[8.167243198027235, 15.637368165297879]",Abandoned,4.695240108574515,,
r133,"[4.846793189507645, 16.670159476950708]","[0.5061815644943146, 18.93812891933373]",Completed,4.728519265157229,,
r134,"[0.3299054159304582, 18.33688789059567]","[11.741893901043987, 3.1741416421895496]",Abandoned,4.768252662886365,,
r135,"[3.284839995430746, 16.545410594273175]","[17.820265553339723, 17.67022379581031]",Completed,4.797578480658453,,
r136,"[17.893531816942364, 3.7441170686966285]","[18.68086611896847, 15.721711227345217]",Abandoned,4.818875425461869,,
